"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"211","British","AirBus",4.08,"Sep","International",303,55,31,38,18,19,457,486,0.06,358,0.15,7,1
"212","British","AirBus",3.58,"Aug","International",303,55,31,38,18,19,402,442,0.1,358,0.15,7,1
"213","British","AirBus",3.58,"Sep","International",303,55,31,38,18,19,402,442,0.1,358,0.15,7,1
"214","British","AirBus",2.41,"Jul","International",303,55,31,38,18,19,392,407,0.04,358,0.15,7,1
"215","British","AirBus",3.25,"Aug","International",303,55,31,38,18,19,356,396,0.11,358,0.15,7,1
"216","British","AirBus",3.25,"Sep","International",303,55,31,38,18,19,356,396,0.11,358,0.15,7,1
"217","British","AirBus",3.58,"Aug","International",303,55,31,38,18,19,322,348,0.08,358,0.15,7,1
"218","British","AirBus",2.66,"Oct","International",303,55,31,38,18,19,297,323,0.09,358,0.15,7,1
"219","British","AirBus",2.41,"Aug","International",303,55,31,38,18,19,303,319,0.05,358,0.15,7,1
"220","British","AirBus",2.41,"Sep","International",303,55,31,38,18,19,303,319,0.05,358,0.15,7,1
"221","British","AirBus",2.41,"Aug","International",303,55,31,38,18,19,276,306,0.11,358,0.15,7,1
"222","British","AirBus",3.25,"Oct","International",303,55,31,38,18,19,249,285,0.14,358,0.15,7,1
"223","British","AirBus",1.83,"Jul","International",303,55,31,38,18,19,238,278,0.17,358,0.15,7,1
"224","British","AirBus",3.58,"Oct","International",303,55,31,38,18,19,238,276,0.16,358,0.15,7,1
"225","British","AirBus",4.5,"Aug","International",303,55,31,38,18,19,228,263,0.15,358,0.15,7,1
"226","British","AirBus",2.41,"Oct","International",303,55,31,38,18,19,231,247,0.07,358,0.15,7,1
"227","British","AirBus",4.5,"Oct","International",303,55,31,38,18,19,203,238,0.17,358,0.15,7,1
"228","British","AirBus",1.83,"Aug","International",303,55,31,38,18,19,201,237,0.18,358,0.15,7,1
"229","British","AirBus",2.41,"Jul","International",303,55,31,38,18,19,207,237,0.14,358,0.15,7,1
"230","British","AirBus",3.58,"Sep","International",303,55,31,38,18,19,207,234,0.13,358,0.15,7,1
"231","British","AirBus",4.08,"Aug","International",303,55,31,38,18,19,182,211,0.16,358,0.15,7,1
"232","British","AirBus",2.83,"Sep","International",303,55,31,38,18,19,171,201,0.18,358,0.15,7,1
"233","British","AirBus",4.5,"Sep","International",303,55,31,38,18,19,168,198,0.18,358,0.15,7,1
"234","British","AirBus",1.25,"Jul","International",303,55,31,38,18,19,140,175,0.25,358,0.15,7,1
"235","British","AirBus",4.08,"Oct","International",303,55,31,38,18,19,147,175,0.2,358,0.15,7,1
"236","British","Boeing",1.25,"Aug","International",303,55,31,38,18,19,137,172,0.26,358,0.15,7,1
"237","British","AirBus",2.41,"Sep","International",303,55,31,38,18,19,138,165,0.19,358,0.15,7,1
"238","British","AirBus",1.83,"Sep","International",303,55,31,38,18,19,126,156,0.23,358,0.15,7,1
